field-type,url-handle,title,description,price,compare-at-price,sku,status,type,product-image-url,product-image-alt-text,inventory,category,product-option-name-1,product-option-value-1,seo-title,seo-description,custom-field-name-1,custom-field-type-1,custom-field-value-1
product,handmade-wooden-bowl,Handmade Wooden Bowl,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",39,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/wooden-design-salad-bowl.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/wooden-design-salad-bowl-view2.jpg,,IN STOCK,Dining room,Size,Small;Medium;large,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,Small,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,Medium,,,,,
variant,,Handmade Wooden Bowl,,39,,,SHOW,,,,IN STOCK,,Size,large,,,,,
product,pure-cotton-bedding-set,Pure cotton bedding set,"<p>This is where you should describe the product. Tell your website visitors what's special about it, why they should have this, and maybe provide any other bit of info you feel is important.</p>",200,,52,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-product-1.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-img2.jpg,,IN STOCK,Bedroom;Bedroom>Bedlinen;Bedroom>Pillows,Color,Beige;Grey;blue,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/beige-bed-linen-product-1.jpg,,IN STOCK,,Color,Beige,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-bed-linen-product-1.jpg,,IN STOCK,,Color,Grey,,,,,
variant,,Pure cotton bedding set,,200,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blue-bed-linen-product-1.jpg,,IN STOCK,,Color,blue,,,,,
product,recycle-wood-stool,Recycle Wood Stool,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",115,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/scandinavian-wooden-stool.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/scandinavian-wooden-stool-view2.jpg,,IN STOCK,Bedroom;Dining room,,,,,,,
product,grey-ceramic-plate,Grey Ceramic plate,"<p>This is where you should describe the product. Tell your website visitors what's special about it, why they should have this, and maybe provide any other bit of info you feel is important.</p>",43,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-ceramic-plate-view1.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-ceramic-plate-set-view2.jpg,,IN STOCK,Dining room,Size,Small;Medium;large,,,,,
variant,,Grey Ceramic plate,,43,,,SHOW,,,,IN STOCK,,Size,Medium,,,,,
variant,,Grey Ceramic plate,,43,,,SHOW,,,,IN STOCK,,Size,large,,,,,
variant,,Grey Ceramic plate,,43,,,SHOW,,,,IN STOCK,,Size,Small,,,,,
product,warm-woolen-slippers,Warm Woolen Slippers,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",39,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/store-sleeper-shooting.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/store-sleeper-shooting-view2.jpg,,IN STOCK,Bedroom,Size,36;37;38;39;40,,,,,
variant,,Warm Woolen Slippers,,39,,,SHOW,,,,IN STOCK,,Size,36,,,,,
variant,,Warm Woolen Slippers,,39,,,SHOW,,,,IN STOCK,,Size,37,,,,,
variant,,Warm Woolen Slippers,,39,,,SHOW,,,,IN STOCK,,Size,38,,,,,
variant,,Warm Woolen Slippers,,39,,,SHOW,,,,IN STOCK,,Size,39,,,,,
variant,,Warm Woolen Slippers,,39,,,SHOW,,,,IN STOCK,,Size,40,,,,,
product,glass-coffee-cup,Glass Coffee Cup,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",39,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/design-glass-mug.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/design-glass-mug-view2.jpg,,IN STOCK,Dining room,Size,Small;Medium;large,,,,,
variant,,Glass Coffee Cup,,39,,,SHOW,,,,IN STOCK,,Size,Small,,,,,
variant,,Glass Coffee Cup,,39,,,SHOW,,,,IN STOCK,,Size,Medium,,,,,
variant,,Glass Coffee Cup,,39,,,SHOW,,,,IN STOCK,,Size,large,,,,,
product,wool-throw-blanket,Wool Throw Blanket,"<p>This is where you should describe the product. Tell your website visitors what's special about it, why they should have this, and maybe provide any other bit of info you feel is important.</p>",75,,4,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blanket-textil-view1.png;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/orange-blanket-with-cookies-view2.png,,IN STOCK,Bedroom,Color,Beige;Grey;Green,,,,,
variant,,Wool Throw Blanket,,75,,4,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blanket-textil-view1.png,,IN STOCK,,Color,Beige,,,,,
variant,,Wool Throw Blanket,,75,,4,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/grey-blanket-textil-view1.jpg,,IN STOCK,,Color,Grey,,,,,
variant,,Wool Throw Blanket,,75,,4,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/Green-blanket-textil-view1.jpg,,IN STOCK,,Color,Green,,,,,
product,plain-design-cutlery,Plain Design Cutlery,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",89,129,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/golden-cutlery.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/golden-cutlery-in-plate.jpg,,IN STOCK,Dining room,Color,Gold;Silver,,,,,
variant,,Plain Design Cutlery,,89,,5,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/golden-cutlery.jpg,,IN STOCK,,Color,Gold,,,,,
variant,,Plain Design Cutlery,,89,,5,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/sliver-cutlery.jpg,,IN STOCK,,Color,Silver,,,,,
product,bedside-modern-lamp,Bedside modern lamp,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",49,,52,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blue-lamp-bedroom-product-view1.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blue-lamp-bedroom-product-photo1.jpg,,IN STOCK,Bedroom;Bedroom>Lightings,Color,blue;Purple,,,,,
variant,,Bedside modern lamp,,49,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/blue-lamp-bedroom-product-view1.jpg,,IN STOCK,,Color,blue,,,,,
variant,,Bedside modern lamp,,49,,52,SHOW,,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/purple-lamp-bedroom-product-view1.jpg,,IN STOCK,,Color,Purple,,,,,
product,ceramic-design-vase,Ceramic Design Vase,"<p>Describe the product here, and don’t be shy! Tell visitors about the product’s unique benefits and advantages. Why is this product special? Why is it better than other products that are similar to it? Give enough details so that people who decide to buy it know exactly what to expect.</p>",115,,5,ACTIVE,PHYSICAL,https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/designe-ceramic-bicolor-vase.jpg;https://irp.cdn-website.com/md/dmtmpl/753e08f3-81d6-4700-a8a7-a768dd99126e/dms3rep/multi/designe-ceramic-bicolor-vase-with-flower.jpg,,IN STOCK,Bedroom;Dining room,Size,Small;Medium;Big,,,,,
variant,,Ceramic Design Vase,,115,,,SHOW,,,,IN STOCK,,Size,Medium,,,,,
variant,,Ceramic Design Vase,,115,,,SHOW,,,,IN STOCK,,Size,Big,,,,,
variant,,Ceramic Design Vase,,115,,,SHOW,,,,IN STOCK,,Size,Small,,,,,
